[16:53:12]   dism[install]: Installing 119 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\Allx64\94xx\amd64\adp94xx.inf: The driver package was successfully installed.
[16:53:12]   dism[install]: Installing 120 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\Allx64\SBS\7.1.0.30034\adpenc.inf: The driver package was successfully installed.
[16:53:12]   dism[install]: Installing 121 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\Allx64\SBS\7.1.0.30034\arc.inf: The driver package was successfully installed.
[16:53:13]   dism[install]: Installing 122 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\Allx64\SBS\7.1.0.30034\arcsas_sbs.inf: The driver package was successfully installed.
[16:53:13]   dism[install]: Installing 123 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\Allx64\SBS\7.5.0.55022\adpenc.inf: The driver package was successfully installed.
[16:53:13]   dism[install]: Installing 124 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\Allx64\SBS\7.5.0.55022\arcsas_sbs.inf: The driver package was successfully installed.
[16:53:14]   dism[install]: Installing 125 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\Allx64\WS\adpenc.inf: The driver package was successfully installed.
[16:53:14]   dism[install]: Installing 126 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\Allx64\WS\arc.inf: The driver package was successfully installed.
[16:53:14]   dism[install]: Installing 127 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\Allx64\WS\arcsas.inf: The driver package was successfully installed.
[16:53:15]   dism[install]: Installing 128 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\Allx86\160M\adpu160m.inf: The driver package was successfully installed.
[16:53:15]   dism[install]: Installing 129 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\NTx64\pmcsnodrv_x64.inf: The driver package was successfully installed.
[16:53:15]   dism[install]: Installing 130 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\AEC\FORCED\6280\5x64\aec6280.inf: The driver package was successfully installed.
[16:53:15]   dism[install]: Installing 131 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\AEC\FORCED\6293\5x64\aec6293.inf: The driver package was successfully installed.
[16:53:16]   dism[install]: Installing 132 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\AEC\FORCED\6293\6x64\aec6293.inf: The driver package was successfully installed.
[16:53:16]   dism[install]: Installing 133 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\AEC\FORCED\67162\5x64\aec67162.inf: The driver package was successfully installed.
